id|name|spotify_link
5tD3e7fDOIC9hYQl3QvxBT|Kreviss|https://open.spotify.com/embed/artist/5tD3e7fDOIC9hYQl3QvxBT
3YcBF2ttyueytpXtEzn1Za|Incubus|https://open.spotify.com/embed/artist/3YcBF2ttyueytpXtEzn1Za
4wQ3PyMz3WwJGI5uEqHUVR|Allman Brothers Band|https://open.spotify.com/embed/artist/4wQ3PyMz3WwJGI5uEqHUVR
12d4iIvTOk7JkI6ecvc3ca|The Charlie Daniels Band|https://open.spotify.com/embed/artist/12d4iIvTOk7JkI6ecvc3ca
61mdsDF6R351gSREUE4Esy|Rebecca Hickman|https://open.spotify.com/embed/artist/61mdsDF6R351gSREUE4Esy
6HpZkC8GUktP9utE6OPWZG|Alan Parsons|https://open.spotify.com/embed/artist/6HpZkC8GUktP9utE6OPWZG
5M52tdBnJaKSvOpJGz8mfZ|Black Sabbath|https://open.spotify.com/embed/artist/5M52tdBnJaKSvOpJGz8mfZ
2VYQTNDsvvKN9wmU5W7xpj|Marilyn Manson|https://open.spotify.com/embed/artist/2VYQTNDsvvKN9wmU5W7xpj
720f5YTj7dqvaipB1vIBkk|Slipknot|https://open.spotify.com/embed/artist/720f5YTj7dqvaipB1vIBkk
4RddZ3iHvSpGV4dvATac9X|Papa Roach|https://open.spotify.com/embed/artist/4RddZ3iHvSpGV4dvATac9X
6XyY86QOPPrYVGvF9ch6wz|Linkin Park|https://open.spotify.com/embed/artist/6XyY86QOPPrYVGvF9ch6wz
1JTc6WNUCREVP3ddDNmjPR|Zakk Wylde's Black Label Society|https://open.spotify.com/embed/artist/1JTc6WNUCREVP3ddDNmjPR
3TOqt5oJwL9BE2NG9MEwDa|Disturbed|https://open.spotify.com/embed/artist/3TOqt5oJwL9BE2NG9MEwDa
2Pfv2w8a20xzC7Dr7QXRqM|Mudvayne|https://open.spotify.com/embed/artist/2Pfv2w8a20xzC7Dr7QXRqM
1E4r4z7ivGUcSAnCbINJ9v|Drowning Pool|https://open.spotify.com/embed/artist/1E4r4z7ivGUcSAnCbINJ9v
54akiBa0DkNM3qkhnGRflb|The Union Underground|https://open.spotify.com/embed/artist/54akiBa0DkNM3qkhnGRflb
6iswhpc2w6na3lS1vehFXF|Otep|https://open.spotify.com/embed/artist/6iswhpc2w6na3lS1vehFXF
6BdSOHfQ6kMg0tbAFlXR1z|Nonpoint|https://open.spotify.com/embed/artist/6BdSOHfQ6kMg0tbAFlXR1z
17Mb968quDHpjCkIyq30QV|Hatebreed|https://open.spotify.com/embed/artist/17Mb968quDHpjCkIyq30QV
