id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
41YN3uBz1PpFNZtmAAaSKS,Free,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],8,1,False,0.7170000000000001,0.616,6,-8.087,0,0.0277,0.0576,0.0,0.0497,0.6920000000000001,98.62799999999999,247067,4.0,2003,2003-12-01
2nO4uKyReZHH7JS61yT2nS,Going My Way,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],9,1,False,0.564,0.395,11,-9.912,1,0.125,0.337,0.0,0.289,0.374,84.896,221347,4.0,2003,2003-12-01
4L4Ug6ah2UXH3JDlpeduRf,Out Of My Mind,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],10,1,False,0.79,0.83,7,-7.254,1,0.0623,0.0472,0.0,0.13,0.945,120.955,187640,4.0,2003,2003-12-01
2JgPlDkLbdcRk5Jp3e7Pgm,Friday's Child,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,['Will Young'],['2U6gqwyl9F33YxawnFrZG7'],11,1,False,0.545,0.6890000000000001,6,-7.063,1,0.0394,0.0998,0.13,0.11599999999999999,0.7959999999999999,164.003,540933,4.0,2003,2003-12-01
5Kz6iIkOBZepijORtkfEvj,Listen For The Laugh,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],1,1,False,0.521,0.8140000000000001,2,-7.903,1,0.0546,0.23,0.13,0.28800000000000003,0.894,172.989,247293,3.0,1994,1994-03-01
6uu5fXS1JPfX3pGArifC8A,All The Ways I Want You,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],2,1,False,0.6970000000000001,0.23399999999999999,4,-14.984000000000002,1,0.0301,0.523,0.00364,0.10400000000000001,0.336,101.60799999999999,258600,4.0,1994,1994-03-01
6AGrDsrNVFeTTl4sQHfqsY,Bone In My Ear,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],3,1,False,0.41700000000000004,0.365,9,-12.710999999999999,0,0.0344,0.741,0.000641,0.258,0.307,172.692,225867,3.0,1994,1994-03-01
1MdS31xYweAsuwj7fdR8xA,Burden Of The Angel/Beast,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],4,1,False,0.695,0.312,2,-13.338,1,0.0293,0.7929999999999999,0.0146,0.10400000000000001,0.3720000000000001,125.427,390667,4.0,1994,1994-03-01
0rHW20CX7izpkFLVj6RhtM,Scanning These Crowds,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],5,1,False,0.584,0.611,2,-9.104,1,0.0291,0.139,0.000113,0.115,0.43799999999999994,118.199,229533,4.0,1994,1994-03-01
31v1dqATMAtTPlZjOE3Tou,Southland Of The Heart,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],6,1,False,0.562,0.303,0,-13.376,1,0.0261,0.0367,0.000332,0.0837,0.242,70.465,289893,4.0,1994,1994-03-01
4M2EK2o9Zgy2jeqLVifARM,Train In The Rain,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],7,1,False,0.5589999999999999,0.313,4,-17.002,1,0.0463,0.94,0.879,0.0981,0.743,102.92200000000001,223173,4.0,1994,1994-03-01
59gijFhkwYNY2IAw0wg2PX,Someone I Used To Love,Dart To The Heart,2yxoWG32Id6PzkER95aCtY,['Bruce Cockburn'],['4sh4MHP7lhrSUakxwZzwqz'],8,1,False,0.45899999999999996,0.33399999999999996,9,-13.8,1,0.0309,0.48100000000000004,6.7e-05,0.11,0.384,82.948,214907,4.0,1994,1994-03-01
