id|name|album|albums_ids|artists_ids|explicit|danceability|energy|key|mode|acousticness|instrumentalness|valence|release_date|spotify_link
5oLsi3F0C26MGnXJcnzQyB|Love The One You're With|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.61|0.88|0|1|0.24|0.0|0.64|2003-12-01|https://open.spotify.com/embed/track/5oLsi3F0C26MGnXJcnzQyB
7xGWDXdFKvsapcORfJuloO|Your Game|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.74|0.63|11|0|0.08|0.0|0.59|2003-12-01|https://open.spotify.com/embed/track/7xGWDXdFKvsapcORfJuloO
0AqhwhQv1xnqCH9wzlQ7PE|Stronger|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.65|0.51|0|1|0.3|0.0|0.68|2003-12-01|https://open.spotify.com/embed/track/0AqhwhQv1xnqCH9wzlQ7PE
4mZsyuthp695XQWwb2g3qe|Leave Right Now|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.64|0.45|6|1|0.14|0.0|0.38|2003-12-01|https://open.spotify.com/embed/track/4mZsyuthp695XQWwb2g3qe
5nvUqq0fvB0GN6mqzDc9Ey|Love Is A Matter Of Distance|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.54|0.56|8|1|0.51|0.0|0.3|2003-12-01|https://open.spotify.com/embed/track/5nvUqq0fvB0GN6mqzDc9Ey
4KepeWvq5KfZUevd0cQ70T|Dance The Night Away|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.77|0.76|11|0|0.17|0.0|0.6|2003-12-01|https://open.spotify.com/embed/track/4KepeWvq5KfZUevd0cQ70T
3VXoePG7JjYl2ay8fzLhtG|Very Kind|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.77|0.29|9|0|0.11|0.0|0.44|2003-12-01|https://open.spotify.com/embed/track/3VXoePG7JjYl2ay8fzLhtG
41YN3uBz1PpFNZtmAAaSKS|Free|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.72|0.62|6|0|0.06|0.0|0.69|2003-12-01|https://open.spotify.com/embed/track/41YN3uBz1PpFNZtmAAaSKS
2nO4uKyReZHH7JS61yT2nS|Going My Way|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.56|0.4|11|1|0.34|0.0|0.37|2003-12-01|https://open.spotify.com/embed/track/2nO4uKyReZHH7JS61yT2nS
4L4Ug6ah2UXH3JDlpeduRf|Out Of My Mind|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.79|0.83|7|1|0.05|0.0|0.94|2003-12-01|https://open.spotify.com/embed/track/4L4Ug6ah2UXH3JDlpeduRf
2JgPlDkLbdcRk5Jp3e7Pgm|Friday's Child|Fridays Child|0eaPZK3nTV2Ei075j2t6Na|['2U6gqwyl9F33YxawnFrZG7']|0|0.55|0.69|6|1|0.1|0.13|0.8|2003-12-01|https://open.spotify.com/embed/track/2JgPlDkLbdcRk5Jp3e7Pgm
5Kz6iIkOBZepijORtkfEvj|Listen For The Laugh|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.52|0.81|2|1|0.23|0.13|0.89|1994-03-01|https://open.spotify.com/embed/track/5Kz6iIkOBZepijORtkfEvj
6uu5fXS1JPfX3pGArifC8A|All The Ways I Want You|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.7|0.23|4|1|0.52|0.0|0.34|1994-03-01|https://open.spotify.com/embed/track/6uu5fXS1JPfX3pGArifC8A
6AGrDsrNVFeTTl4sQHfqsY|Bone In My Ear|Dart To The Heart|2yxoWG32Id6PzkER95aCtY|['4sh4MHP7lhrSUakxwZzwqz']|0|0.42|0.36|9|0|0.74|0.0|0.31|1994-03-01|https://open.spotify.com/embed/track/6AGrDsrNVFeTTl4sQHfqsY
